20.60, 13.69, 8.56, 7.28, 5.12, 3.47, 4.28, N/A, 3.73, 3.53, 3.24, 2025-03-18
20.32, 13.44, 8.34, 7.09, 4.91, 3.27, 4.08, 4.18, 3.35, 3.33, 3.04, 2025-03-19
20.18, 13.32, 8.23, 7.67, 4.81, 4.04, 3.97, 4.77, 2.99, 3.22, 2.94, 2025-03-23
20.58, 13.67, 8.57, 7.28, 5.14, 4.36, 4.30, 4.38, 2.70, 3.55, 3.26, 2025-03-24
20.43, 13.55, 8.45, 7.21, 5.04, 4.26, 4.20, 4.31, 3.71, 3.45, 3.17, 2025-03-25
20.50, 13.62, 8.53, 5.41, 5.10, 4.33, 4.27, 4.34, 3.74, 3.52, 3.23, 2025-03-26
20.17, 13.34, 8.26, 4.43, 4.87, 3.19, 4.04, 1.14, 3.56, 3.30, 3.01, 2025-03-27
20.16, 13.36, 8.30, 3.95, 4.92, 3.94, 4.08, 1.44, 3.97, 3.34, 3.06, 2025-03-29
19.36, 12.60, 7.60, 2.37, 4.25, 3.48, 2.37, 1.19, 3.02, 2.69, 2.41, 2025-03-31
18.74, 10.26, 7.08, 4.96, 4.11, 3.35, 1.25, 0.50, 2.78, N/A, N/A, 2025-04-01
19.57, 11.03, 7.83, 5.69, 4.10, 3.34, 2.28, 1.74, 2.76, 2.55, 2.27, 2025-04-02
24.13, 15.27, 11.94, 9.73, 4.39, 3.61, 6.18, 5.57, 3.05, 2.81, 2.52, 2025-04-03
25.39, 16.43, 9.00, 6.95, 5.56, 4.78, 4.77, 4.87, 4.26, 3.96, 3.67, 2025-04-09
21.88, 13.18, 8.05, 4.32, 2.96, 3.90, 3.91, 4.01, 3.41, 3.10, 2.82, 2025-04-11
22.85, 14.08, 9.24, 5.47, 4.09, 5.04, 5.73, 3.66, 5.23, 4.24, 3.95, 2025-04-12
22.46, 13.72, 8.05, 4.32, 2.95, 3.89, 3.22, 3.33, 3.42, 3.09, 2.81, 2025-04-14
21.91, 13.20, 8.00, 4.27, 2.90, 3.84, 2.75, 2.86, 3.27, 3.04, 2.76, 2025-04-15
19.21, 10.69, 8.03, 4.32, 2.96, 3.91, 2.39, 1.42, 3.47, 3.12, 2.84, 2025-04-16
18.67, 10.19, 7.92, 4.22, 3.06, 3.40, 2.99, 1.71, 3.35, 3.03, 2.75, 2025-04-17
24.71, 14.32, 8.16, 4.47, 3.29, 4.07, 3.72, 3.30, 3.61, 3.29, 3.01, 2025-04-22
28.74, 18.01, 8.21, 4.50, 3.09, 4.08, 4.02, 3.84, 3.38, 3.29, 3.00, 2025-04-23
27.70, 17.06, 8.31, 4.60, 3.38, 4.19, 4.13, 3.22, 3.67, 3.40, 3.12, 2025-04-24
28.69, 17.97, 8.30, 4.59, 3.37, 4.48, 4.03, 4.03, 3.65, 3.38, 3.10, 2025-04-25
28.60, 17.89, 8.19, 4.46, 3.32, 4.41, 3.96, 3.42, 3.61, 3.26, 2.97, 2025-04-28
28.54, 17.83, 8.46, 4.73, 3.54, 4.02, 3.26, 3.32, 3.83, 3.53, N/A, 2025-04-29
19.96, 17.03, 8.24, 4.52, 3.35, 3.31, 2.56, 2.62, 3.65, 3.33, N/A, 2025-04-30
20.17, 19.51, 8.31, 4.58, 3.59, 4.81, 4.74, 4.74, 3.87, 3.36, N/A, 2025-05-02
